doc_id,md_file,source_pdf,engine,sitting_date,date_source,session_range,n_chars,duplicate_pdfs_dropped
2010-01-12__11,md/2010-01-12__11.md,todo/2009-2010/2010-01-12-11.pdf,borndigital_deterministic_v2,2010-01-12,filename_or_banner,,185111,2009-2010/2010-01-12-11.pdf;2009-2010/2010-01-12-N_11.pdf;2009-2010/2010-01-12-N_11.pdf
2010-01-19__12,md/2010-01-19__12.md,todo/2009-2010/2010-01-19-12.pdf,borndigital_deterministic_v2,2010-01-19,filename_or_banner,,158872,2009-2010/2010-01-19-12.pdf;2009-2010/2010-01-19-N_12.pdf;2009-2010/2010-01-19-N_12.pdf
2010-02-04__13,md/2010-02-04__13.md,todo/2009-2010/2010-02-04-13.pdf,borndigital_deterministic_v2,2010-02-04,filename_or_banner,,258527,2009-2010/2010-02-04-13.pdf;2009-2010/2010-02-04-N_13.pdf;2009-2010/2010-02-04-N_13.pdf
2010-02-09__14,md/2010-02-09__14.md,todo/2009-2010/2010-02-09-14.pdf,borndigital_deterministic_v2,2010-02-09,filename_or_banner,,291641,2009-2010/2010-02-09-14.pdf;2009-2010/2010-02-09-N_14.pdf;2009-2010/2010-02-09-N_14.pdf
2010-02-16__15,md/2010-02-16__15.md,todo/2009-2010/2010-02-16-15.pdf,borndigital_deterministic_v2,2010-02-16,filename_or_banner,,144927,2009-2010/2010-02-16-15.pdf;2009-2010/2010-02-16-N_15.pdf;2009-2010/2010-02-16-N_15.pdf
2010-03-01__79,md/2010-03-01__79.md,todo/2017-2018/79.pdf,borndigital_deterministic_v2,2010-03-01,banner_recovered,,200390,
2010-03-02__16,md/2010-03-02__16.md,todo/2009-2010/2010-03-02-16.pdf,borndigital_deterministic_v2,2010-03-02,filename_or_banner,,133984,2009-2010/2010-03-02-16.pdf;2009-2010/2010-03-02-N_16.pdf;2009-2010/2010-03-02-N_16.pdf
2010-03-18__17,md/2010-03-18__17.md,todo/2009-2010/2010-03-18-17.pdf,borndigital_deterministic_v2,2010-03-18,filename_or_banner,,152000,2009-2010/2010-03-18-17.pdf;2009-2010/2010-03-18-N_17.pdf;2009-2010/2010-03-18-N_17.pdf
2010-03-18__18,md/2010-03-18__18.md,todo/2009-2010/2010-03-18-18.pdf,borndigital_deterministic_v2,2010-03-18,filename_or_banner,,133295,2009-2010/2010-03-18-18.pdf;2009-2010/2010-03-18-N_18.pdf;2009-2010/2010-03-18-N_18.pdf
2010-03-29__19,md/2010-03-29__19.md,todo/2009-2010/2010-03-29-19.pdf,borndigital_deterministic_v2,2010-03-29,filename_or_banner,,79867,2009-2010/2010-03-29-19.pdf;2009-2010/2010-03-29-N_19.pdf;2009-2010/2010-03-29-N_19.pdf
2010-04-05__20,md/2010-04-05__20.md,todo/2009-2010/2010-04-05-20.pdf,borndigital_deterministic_v2,2010-04-05,filename_or_banner,,140061,2009-2010/2010-04-05-20.pdf;2009-2010/2010-04-05-N_20.pdf;2009-2010/2010-04-05-N_20.pdf
2010-04-13__21,md/2010-04-13__21.md,todo/2009-2010/2010-04-13-21.pdf,borndigital_deterministic_v2,2010-04-13,filename_or_banner,,129235,2009-2010/2010-04-13-21.pdf;2009-2010/2010-04-13-N_21.pdf;2009-2010/2010-04-13-N_21.pdf
2010-04-29__22,md/2010-04-29__22.md,todo/2009-2010/2010-04-29-22.pdf,borndigital_deterministic_v2,2010-04-29,filename_or_banner,,196135,2009-2010/2010-04-29-22.pdf;2009-2010/2010-04-29-N_22.pdf;2009-2010/2010-04-29-N_22.pdf
2010-05-04__23,md/2010-05-04__23.md,todo/2010/2010-05-04-23.pdf,mistral_ocr4_colsplit,2010-05-04,filename,,260022,2010/2010-05-04-N_23.pdf
2010-05-11__24,md/2010-05-11__24.md,todo/2009-2010/2010-05-11-24.pdf,borndigital_deterministic_v2,2010-05-11,filename_or_banner,,126296,2009-2010/2010-05-11-24.pdf;2009-2010/2010-05-11-N_24.pdf;2009-2010/2010-05-11-N_24.pdf
2010-05-27__25,md/2010-05-27__25.md,todo/2009-2010/2010-05-27-25.pdf,borndigital_deterministic_v2,2010-05-27,filename_or_banner,,185059,2009-2010/2010-05-27-25.pdf;2009-2010/2010-05-27-N_25.pdf;2009-2010/2010-05-27-N_25.pdf
2010-06-03__26,md/2010-06-03__26.md,todo/2009-2010/2010-06-03-26.pdf,borndigital_deterministic_v2,2010-06-03,filename_or_banner,,139787,2009-2010/2010-06-03-26.pdf;2009-2010/2010-06-03-N_26.pdf;2009-2010/2010-06-03-N_26.pdf
2010-06-15__27,md/2010-06-15__27.md,todo/2009-2010/2010-06-15-27.pdf,borndigital_deterministic_v2,2010-06-15,filename_or_banner,,179084,2009-2010/2010-06-15-27.pdf;2009-2010/2010-06-15-N_27.pdf;2009-2010/2010-06-15-N_27.pdf
2010-07-05__28,md/2010-07-05__28.md,todo/2010/2010-07-05-28.pdf,mistral_ocr4_colsplit,2010-07-05,filename,,557933,2010/2010-07-05-N_28.pdf
2010-07-07__29,md/2010-07-07__29.md,todo/2009-2010/2010-07-07-29.pdf,borndigital_deterministic_v2,2010-07-07,filename_or_banner,,70024,2009-2010/2010-07-07-29.pdf;2009-2010/2010-07-07-N_29.pdf;2009-2010/2010-07-07-N_29.pdf
2010-07-20__30,md/2010-07-20__30.md,todo/2009-2010/2010-07-20-30.pdf,borndigital_deterministic_v2,2010-07-20,filename_or_banner,,221147,2009-2010/2010-07-20-30.pdf;2009-2010/2010-07-20-N_30.pdf;2009-2010/2010-07-20-N_30.pdf
2010-10-12__1,md/2010-10-12__1.md,todo/Mudawalat_2010-11/2010-10-12-1.pdf,borndigital_deterministic_v2,2010-10-12,filename_or_banner,,17927,Mudawalat_2010-11/2010-10-12-N_1.pdf
2010-10-12__2,md/2010-10-12__2.md,todo/Mudawalat_2010-11/2010-10-12-2.pdf,borndigital_deterministic_v2,2010-10-12,filename_or_banner,,9474,Mudawalat_2010-11/2010-10-12-N_2.pdf
2010-10-19__3,md/2010-10-19__3.md,todo/Mudawalat_2010-11/2010-10-19-3.pdf,borndigital_deterministic_v2,2010-10-19,filename_or_banner,,156211,Mudawalat_2010-11/2010-10-19-N_3.pdf
2011-01-17__28,md/2011-01-17__28.md,todo/2016-2017/28.pdf,borndigital_deterministic_v2,2011-01-17,banner_recovered,,160674,2016-2017/28.pdf
2011-06-11__102,md/2011-06-11__102.md,todo/2018-2019/102.pdf,borndigital_deterministic_v2,2011-06-11,banner_recovered,,150783,
2011-11-19__seg040,md/2011-11-19__seg040.md,todo/Mudawalat_2011_Tome_3_part09.pdf,mistral_ocr4_colsplit,2011-11-19,banner_or_carried_forward,,115321,Mudawalat_2011_Tome_3_part10.pdf
2012-02-01__seg000,md/2012-02-01__seg000.md,todo/Mudawalat_2011_Tome_1_part01.pdf,mistral_ocr4_colsplit,2012-02-01,banner_or_carried_forward,,44610,
2012-02-03__seg001,md/2012-02-03__seg001.md,todo/Mudawalat_2011_Tome_1_part01.pdf,mistral_ocr4_colsplit,2012-02-03,banner_or_carried_forward,,27973,Mudawalat_2011_Tome_1_part02.pdf
2012-02-28__seg002,md/2012-02-28__seg002.md,todo/Mudawalat_2011_Tome_1_part02.pdf,mistral_ocr4_colsplit,2012-02-28,banner_or_carried_forward,,139495,
2012-10-23__seg003,md/2012-10-23__seg003.md,todo/Mudawalat_2011_Tome_1_part02.pdf,mistral_ocr4_colsplit,2012-10-23,banner_or_carried_forward,,152101,Mudawalat_2011_Tome_1_part03.pdf
2012-10-24__seg004,md/2012-10-24__seg004.md,todo/Mudawalat_2011_Tome_1_part03.pdf,mistral_ocr4_colsplit,2012-10-24,banner_or_carried_forward,,540415,Mudawalat_2011_Tome_1_part04.pdf;Mudawalat_2011_Tome_1_part05.pdf;Mudawalat_2011_Tome_1_part06.pdf
2013-01-18__seg005,md/2013-01-18__seg005.md,todo/Mudawalat_2011_Tome_1_part06.pdf,mistral_ocr4_colsplit,2013-01-18,banner_or_carried_forward,,223386,Mudawalat_2011_Tome_1_part07.pdf;Mudawalat_2011_Tome_1_part08.pdf
2013-01-21__seg006,md/2013-01-21__seg006.md,todo/Mudawalat_2011_Tome_1_part08.pdf,mistral_ocr4_colsplit,2013-01-21,banner_or_carried_forward,,79214,
2013-01-23__seg007,md/2013-01-23__seg007.md,todo/Mudawalat_2011_Tome_1_part08.pdf,mistral_ocr4_colsplit,2013-01-23,banner_or_carried_forward,,209736,Mudawalat_2011_Tome_1_part09.pdf
2013-01-29__seg008,md/2013-01-29__seg008.md,todo/Mudawalat_2011_Tome_1_part09.pdf,mistral_ocr4_colsplit,2013-01-29,banner_or_carried_forward,,225803,Mudawalat_2011_Tome_1_part10.pdf;Mudawalat_2011_Tome_1_part11.pdf
2013-01-31__seg009,md/2013-01-31__seg009.md,todo/Mudawalat_2011_Tome_1_part11.pdf,mistral_ocr4_colsplit,2013-01-31,banner_or_carried_forward,,171200,Mudawalat_2011_Tome_1_part12.pdf
2013-02-01__seg010,md/2013-02-01__seg010.md,todo/Mudawalat_2011_Tome_1_part12.pdf,mistral_ocr4_colsplit,2013-02-01,banner_or_carried_forward,,61945,Mudawalat_2011_Tome_2_part01.pdf
2013-02-04__seg011,md/2013-02-04__seg011.md,todo/Mudawalat_2011_Tome_2_part01.pdf,mistral_ocr4_colsplit,2013-02-04,banner_or_carried_forward,,90681,
2013-02-05__seg012,md/2013-02-05__seg012.md,todo/Mudawalat_2011_Tome_2_part01.pdf,mistral_ocr4_colsplit,2013-02-05,banner_or_carried_forward,,118586,Mudawalat_2011_Tome_2_part02.pdf
2013-02-11__seg013,md/2013-02-11__seg013.md,todo/Mudawalat_2011_Tome_2_part02.pdf,mistral_ocr4_colsplit,2013-02-11,banner_or_carried_forward,,54534,
2013-02-12__seg014,md/2013-02-12__seg014.md,todo/Mudawalat_2011_Tome_2_part02.pdf,mistral_ocr4_colsplit,2013-02-12,banner_or_carried_forward,,184902,Mudawalat_2011_Tome_2_part03.pdf
