Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
محمد فؤاد المبزع,Foued Mebazaa,1,Male,1933,"Minister (Youth and Sports, Health), Ambassador",Post Secondary,Tunis,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الهادي الجيلاني,Hedi Djilani,2,Male,1948,Entrepreneur ,Post Secondary,Tunis,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد الحبيب ثامر,Mohamed Habib Thameur,3,Male,,,,,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مسعودة هلالي حرم بطيخ,Masouda Hellali,4,Female,,,,,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
فوزي اللومي,Faouzi Loumi,5,Male,,,,,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
راضية بن سلطان,Radhia Ben Soltane,6,Female,,,,,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد أنيس شوشان,Mohamed Anis Chouchane,7,Male,,,,,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد الدامي,Mohamed Dami,8,Male,,,,,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد رجاء ليتيم,Mohamed Raja Litim,9,Male,,,,,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
هشام الحاجي,Hichem Haji,10,Male,,,,,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,حزب الوحدة الشعبية,Parti de l'Unite Populaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد أنيس الأرياني,Mohamed Anis Ariani,11,Male,,,,,1,Chamber of Deputies,تونس 1,Tunis 1,2009-2011,,,الحزب الاجتماعي التحرري,Parti Social-Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
