session_stem,date_raw,date_flag,window_lo,window_hi,resolved_date,resolution,in_marsad,candidates
2016-2017__03,,conflict:no_date,2016-11-01,2016-11-24,,,,
2016-2017__04,,conflict:no_date,2016-11-01,2016-11-24,,,,
2016-2017__05,,conflict:no_date,2016-11-01,2016-11-24,,,,
2016-2017__20,,conflict:no_date,2016-12-07,2016-12-09,,,,
2016-2017__7,,conflict:no_date,2016-11-01,2016-11-24,,,,
2016-2017__75,,conflict:no_date,2017-07-27,2017-07-27,2017-07-27,squeeze,,
2016-2017__8,,conflict:no_date,2016-11-01,2016-11-24,,,,
2017-2018__86,,conflict:no_date,2018-07-06,2018-07-12,,,,
2017-2018__89,,conflict:no_date,2018-07-12,2018-07-19,,,,
2018-2019__101,,conflict:no_date,2019-06-13,2019-06-25,,,,
2018-2019__103,,conflict:no_date,2019-06-13,2019-06-25,,,,
2018-2019__111,,conflict:no_date,2019-07-10,2019-07-11,,,,
2018-2019__114,,conflict:no_date,2019-07-16,2019-07-18,,,,
2018-2019__116,,conflict:no_date,2019-07-18,2019-07-23,,,,
2018-2019__118,,conflict:no_date,2019-07-23,,,,,
2018-2019__40,,conflict:no_date,2019-01-07,2019-01-11,,,,
2018-2019__85,,conflict:no_date,2019-04-23,2019-04-28,,,,
